"","x"
"123",6.44726192102853e-07
"124",0.000233714161002035
"125",0.000715739227485786
"126",0.000270474994279581
"127",0.000324183702818411
"128",8.10670911930182e-05
"129",7.91754791048029e-05
"130",4.61523007056861e-06
"131",6.24519106408992e-05
"132",3.45538815941375e-06
"133",0.000791990195267946
"134",0.000534254003903077
"135",0.000467518331921776
"136",6.19762660557897e-05
"137",0.000178572515695441
"138",0.000461729528033909
"139",2.28200852384751e-05
"140",0.000158196680475784
"141",1.98437806077117e-05
"142",0.0176563412899487
"143",0.000379199997140083
"144",0.00201106439266353
"145",0.00177674161893839
"146",0.000619532589173896
"147",9.32678135425675e-06
"148",0.00704051988692822
"149",0.0114106855537519
"150",5.15169850518299e-05
"151",6.84575897577815e-05
"152",0.000305456697527868
"153",0.00705821236116947
"154",0.000729124627888403
"155",0.00675995119995474
"156",0.00677631324377256
"157",7.06210861601655e-05
"158",0.00655723335576092
"159",0.00234159835091958
"160",0.000998133881092984
"161",0.00608346745690772
"162",0.021970441012422
"163",0.0187643270248579
"164",0.0165309039327931
"165",0.000374095767611509
"166",1.38060170238456e-05
"167",0.0228547822017256
"168",5.37193153005476e-05
"169",0.000560902332866391
"170",0.00149680856951659
"171",0.00223877403100831
"172",0.00224532991585764
"173",1.36809156032054e-06
"174",0.0013985242076884
"175",0.000943633680421324
"176",7.89631937358176e-05
"177",0.000248942465550028
"178",0.000901114333693105
"179",9.70542000401262e-05
"180",0.00100630993214893
"181",0.00208547048814496
"182",0.00458402461950981
"183",0.000960513171571617
"184",0.0001316830661035
"185",0.00100925039095683
"186",0.00122363228337643
"187",0.0145874897441814
"188",0.000181262994737616
"189",0.00052559308038504
"190",1.02393044935555e-05
"191",0.00224669463534769
"192",2.49646423005018e-06
"193",0.000747409292301062
"194",4.75052137761633e-05
"195",0.000295390169501318
"196",0.00888335434407301
"197",0.00088683702805165
"198",0.000674973287820052
"199",1.12922029996246e-06
"200",0.00316882264791501
"201",0.000704370914931651
"202",0.00315051092036134
"203",0.0029474792383171
"204",0.00752798706875984
"205",0.00855189872003228
"206",3.39149257692585e-07
"207",1.09288631979497e-05
"208",0.000732413112253032
"209",0.000104635185620234
"210",0.00162584195258188
"211",6.38851866935803e-05
"212",0.00093940137012988
"213",1.67466097013715e-05
"214",0.000175953405559449
"215",0.0182524292955333
"216",5.07387623676534e-06
"217",0.00145613331822796
"218",5.59390904960135e-06
"219",0.00165152516702422
"220",0.0055109642661418
"221",0.00547271312886596
"222",0.000789614322703896
"223",0.00272042234779555
"224",4.00125923671104e-06
"225",0.00355162328523362
"226",0.0132042782668175
"227",5.27419914764743e-08
"228",2.18024342264017e-05
"229",0.0063834673453769
"230",2.3633310564774e-06
"231",1.08616422091038e-06
"232",9.89296084045412e-05
"233",0.00119346630657308
"234",0.0102518829054506
"235",0.000911747714483627
"236",5.00548866536794e-05
"237",0.00307647929354005
"238",5.79031777246515e-05
"239",0.000576639727886901
"240",0.000636821074456748
"241",0.00103278520927343
"242",0.000448281737859809
"243",0.000135418880751715
"244",0.00050879361637539
"245",9.72591547544823e-05
"246",0.00192712216333254
"247",0.000977587268230205
"248",2.38079193230847e-05
"249",0.000500697106946662
"250",0.000232411034644171
"251",1.26446768530538e-06
"252",3.06764286508591e-06
"253",0.00216379556338878
"254",0.0314940645019744
"255",0.000409536951546883
"256",6.38369041607207e-05
"257",0.00509009947821666
"258",0.00777476157728011
"259",2.34551505483985e-05
"260",0.00251581363609755
"261",0.000105413642704803
"262",0.00375758828170409
"263",0.00890466619976559
"264",0.0012956657261471
"265",4.76254398476997e-05
"266",0.00468182883934112
"267",3.1726046576794e-05
"268",0.0105599311580513
"269",0.00145197484818848
"270",0.0036966071238586
"271",4.88152570964736e-05
"272",0.000129528987823549
"273",0.000523819640848431
"274",1.24856027718496e-05
"275",0.00203859820701423
"276",0.000149052599932918
"277",0.00079366678907295
"278",0.000410220242320969
"279",6.99990448745123e-05
"280",2.79139436147764e-06
"281",0.00290813556604649
"282",5.62340603289262e-05
"283",0.00474100151546093
"284",0.00678016710802483
"285",3.62581665726476e-05
"286",0.0015006762231708
"287",8.92977750775864e-10
"288",0.000710392307911085
"289",0.00110050416614754
"290",0.000204048468430126
"291",0.00378865743918257
"292",0.00128213359628706
"293",0.00241350337667885
"294",0.000355220405972099
"295",0.000707429592515906
"296",1.88978467261063e-06
"297",7.0176378209156e-06
"298",7.18402821738282e-05
"299",0.00343181287481162
"300",0.000605146157240054
"301",0.00251416482811593
"302",0.00149032930621488
"303",0.00018898118300087
"304",2.45295859820834e-06
"305",0.000542827535277657
"306",0.000443403139380061
"307",0.000416326083679295
